"Symbol  ","Series  ","Date  ","Prev Close  ","Open Price  ","High Price  ","Low Price  ","Last Price  ","Close Price  ","Average Price ","Total Traded Quantity  ","Turnover In Rs  ","No. of Trades  ","Deliverable Qty  ","% Dly Qt to Traded Qty  "
"INFY","EQ","31-Dec-2025","1,621.60","1,621.00","1,628.60","1,609.20","1,617.90","1,615.40","1,616.58","65,38,656","10,57,02,70,246.20","1,02,413","48,19,875","73.71"
"INFY","EQ","01-Jan-2026","1,615.40","1,615.40","1,639.60","1,614.10","1,629.50","1,629.80","1,630.77","36,58,165","5,96,56,15,873.20","96,560","13,56,702","37.09"
"INFY","EQ","02-Jan-2026","1,629.80","1,635.90","1,643.50","1,627.50","1,642.10","1,640.40","1,638.65","25,24,526","4,13,68,08,012.60","86,514","15,86,098","62.83"
"INFY","EQ","05-Jan-2026","1,640.40","1,637.00","1,637.00","1,583.10","1,604.10","1,606.40","1,602.81","59,17,885","9,48,52,45,520.40","2,20,171","31,20,876","52.74"
"INFY","EQ","06-Jan-2026","1,606.40","1,600.10","1,619.90","1,599.00","1,605.00","1,612.20","1,612.25","44,66,729","7,20,15,00,282.70","1,32,512","25,59,970","57.31"
"INFY","EQ","07-Jan-2026","1,612.20","1,615.00","1,642.00","1,615.00","1,640.00","1,639.00","1,633.23","45,08,079","7,36,27,15,155.00","1,29,457","23,95,056","53.13"
"INFY","EQ","08-Jan-2026","1,639.00","1,638.90","1,644.30","1,608.60","1,612.60","1,613.30","1,619.65","39,42,131","6,38,48,66,730.40","1,30,780","19,42,792","49.28"
"INFY","EQ","09-Jan-2026","1,613.30","1,610.00","1,631.30","1,607.00","1,616.90","1,614.10","1,616.35","68,16,681","11,01,81,32,001.70","1,31,498","47,25,239","69.32"
"INFY","EQ","12-Jan-2026","1,614.10","1,610.10","1,613.30","1,592.60","1,597.60","1,595.90","1,599.67","69,85,362","11,17,42,99,825.40","2,10,446","48,91,397","70.02"
"INFY","EQ","13-Jan-2026","1,595.90","1,618.00","1,618.00","1,586.40","1,600.00","1,599.00","1,595.24","80,80,618","12,89,05,13,857.40","1,76,411","39,87,983","49.35"
"INFY","EQ","14-Jan-2026","1,599.00","1,588.00","1,617.00","1,583.10","1,608.90","1,599.80","1,598.47","75,57,157","12,07,98,66,717.30","1,57,399","40,15,848","53.14"
"INFY","EQ","16-Jan-2026","1,599.80","1,663.70","1,694.00","1,653.40","1,689.10","1,689.80","1,679.42","1,93,35,957","32,47,32,41,076.50","4,04,792","1,03,28,756","53.42"
"INFY","EQ","19-Jan-2026","1,689.80","1,685.00","1,685.00","1,666.50","1,679.90","1,681.20","1,678.98","51,04,958","8,57,11,26,563.30","1,44,195","29,76,398","58.30"
"INFY","EQ","20-Jan-2026","1,681.20","1,673.00","1,680.20","1,652.90","1,654.40","1,658.90","1,664.20","64,06,503","10,66,17,23,561.20","1,90,297","33,75,861","52.69"
"INFY","EQ","21-Jan-2026","1,658.90","1,651.00","1,657.00","1,631.20","1,655.10","1,654.40","1,648.33","62,24,582","10,26,01,52,588.00","1,95,264","33,65,346","54.07"
"INFY","EQ","22-Jan-2026","1,654.40","1,666.00","1,671.20","1,653.80","1,662.80","1,663.50","1,661.08","62,28,892","10,34,66,90,586.50","1,84,046","31,91,901","51.24"
"INFY","EQ","23-Jan-2026","1,663.50","1,667.20","1,675.70","1,662.20","1,672.00","1,670.80","1,668.83","58,69,137","9,79,45,71,597.00","1,52,342","39,40,873","67.15"
